Rank,Experiment,Timestamp,Git Commit,F1 Score,Accuracy,Precision,Recall,Deployment Latency (ms),TorchScript Size (MB),Training Time (s),Peak GPU Alloc (MB),Path
1,baseline_20260722_230537,2026-07-22T17:35:37.590284+00:00,6fdc5b0558c9bd9fe4483be0cb7d63b4d764d531,1.0,1.0,1.0,1.0,4.65,1.71,1662.621191100001,N/A,experiments\runs\baseline_20260722_230537
2,baseline_20260722_214232,2026-07-22T16:12:32.929847+00:00,fcdedcc8e30427923433286605caaaa074239269,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiments\runs\baseline_20260722_214232
